engine_id,route,latitude,longitude,scheduled_arrival,actual_arrival
8,Route B,83.4212633344606,-174.16536268729706,2024-08-29 18:21:20.937439,2024-08-29 18:36:20.937439
1,Route C,67.73748303667148,126.69276187224727,2024-08-30 03:44:20.937439,2024-08-30 03:45:20.937439
5,Route A,58.016805670629594,77.86676995250338,2024-08-29 22:57:20.937439,2024-08-29 23:01:20.937439
2,Route A,-89.91542686351198,104.44645351985702,2024-08-30 10:45:20.937439,2024-08-30 11:00:20.937439
3,Route A,49.97810117541522,-38.71059652460798,2024-08-30 10:39:20.937439,2024-08-30 10:59:20.937439
5,Route C,-89.61088173246215,-59.592971449894236,2024-08-29 18:50:20.937439,2024-08-29 18:49:20.937439
8,Route B,-15.459421463140842,-141.52811376411637,2024-08-29 21:14:20.937439,2024-08-29 21:22:20.937439
2,Route A,-8.23850199116724,-123.27089137713932,2024-08-30 03:03:20.937439,2024-08-30 03:18:20.937439
6,Route B,-79.91715038474351,-120.30374389259168,2024-08-30 02:45:20.937439,2024-08-30 02:55:20.937439
4,Route B,-18.62423404411669,-123.59464744781641,2024-08-30 05:16:20.937439,2024-08-30 05:40:20.937439
8,Route A,-78.01524458826944,134.0902204093146,2024-08-30 03:33:20.937439,2024-08-30 03:28:20.937439
5,Route B,-72.09082036753702,-104.78754477372216,2024-08-30 02:34:20.937439,2024-08-30 02:44:20.937439
4,Route C,26.72823395779058,61.94463659666866,2024-08-30 03:48:20.937439,2024-08-30 03:59:20.937439
5,Route C,-2.316272884638906,-137.7776763225241,2024-08-30 05:11:20.937439,2024-08-30 05:23:20.937439
7,Route C,33.38593210020889,-21.211765629500917,2024-08-30 07:59:20.937439,2024-08-30 08:16:20.937439
7,Route C,14.43189474031098,17.50658639812184,2024-08-29 18:27:20.937439,2024-08-29 18:25:20.937439
8,Route B,35.17437600748556,-159.69624162705512,2024-08-29 22:59:20.937439,2024-08-29 23:00:20.937439
1,Route C,-38.69050889995592,96.00835711469449,2024-08-30 08:28:20.937439,2024-08-30 08:23:20.937439
4,Route A,-79.99493208139744,-22.604850053243666,2024-08-30 06:27:20.937439,2024-08-30 06:36:20.937439
10,Route B,-32.661147222757464,-39.841742603069775,2024-08-30 03:02:20.937439,2024-08-30 03:27:20.937439
7,Route C,-36.39460107001963,162.95047285186638,2024-08-30 07:34:20.937439,2024-08-30 07:52:20.937439
7,Route B,62.80621393037558,-114.54872897266654,2024-08-30 06:45:20.937439,2024-08-30 07:06:20.937439
1,Route B,74.33108365980075,-34.032449886007925,2024-08-30 09:26:20.937439,2024-08-30 09:40:20.937439
1,Route C,57.27226330450728,-167.3983597712184,2024-08-29 22:15:20.937439,2024-08-29 22:13:20.937439
4,Route B,20.87904495215936,-111.53704500501712,2024-08-29 19:21:20.937439,2024-08-29 19:21:20.937439
3,Route C,-11.710495394253911,-33.18157154097591,2024-08-30 10:36:20.937439,2024-08-30 10:46:20.937439
8,Route B,11.718630305124464,-10.896121334731873,2024-08-30 10:04:20.937439,2024-08-30 10:14:20.937439
1,Route B,-1.6507568667961294,-159.03997977288267,2024-08-30 07:15:20.937439,2024-08-30 07:24:20.937439
4,Route A,-62.94654446694207,-135.95759056706,2024-08-29 22:39:20.937439,2024-08-29 22:35:20.937439
5,Route B,72.09055301277905,-64.61129825745272,2024-08-29 21:48:20.937439,2024-08-29 22:13:20.937439
4,Route A,-30.47629438024827,-66.22789744836692,2024-08-30 08:51:20.937439,2024-08-30 09:04:20.937439
2,Route A,-67.2509668267377,85.53062724772207,2024-08-30 01:40:20.937439,2024-08-30 01:55:20.937439
5,Route C,-1.2694365097848817,20.71733751614667,2024-08-30 02:51:20.937439,2024-08-30 03:16:20.937439
3,Route B,-71.8174424038848,-84.1318256875519,2024-08-29 19:24:20.937439,2024-08-29 19:54:20.937439
9,Route B,26.49752176831312,71.76273081140582,2024-08-30 01:12:20.937439,2024-08-30 01:39:20.937439
7,Route A,8.29773989060726,61.227564754330785,2024-08-29 23:56:20.937439,2024-08-30 00:06:20.937439
7,Route C,2.2233310189933917,-121.60216764602434,2024-08-29 20:39:20.937439,2024-08-29 21:07:20.937439
8,Route A,-2.201528686955683,-149.1139962525063,2024-08-30 00:04:20.937439,2024-08-30 00:29:20.937439
10,Route A,-82.32938981246322,137.21804835224322,2024-08-30 10:39:20.937439,2024-08-30 11:05:20.937439
5,Route B,89.62080671002258,-151.72888686774823,2024-08-30 10:34:20.937439,2024-08-30 10:59:20.937439
7,Route C,29.577142120349862,107.49834403219097,2024-08-30 01:51:20.937439,2024-08-30 02:08:20.937439
1,Route A,-58.55700369150359,95.8846953829925,2024-08-30 04:27:20.937439,2024-08-30 04:50:20.937439
1,Route B,-15.98263733008865,-111.16133870333496,2024-08-29 19:28:20.937439,2024-08-29 19:40:20.937439
6,Route B,62.381799063097304,60.770588859286846,2024-08-30 09:26:20.937439,2024-08-30 09:20:20.937439
7,Route B,-47.78904849086495,-53.07927508985135,2024-08-29 20:27:20.937439,2024-08-29 20:46:20.937439
3,Route C,54.46427482157438,-18.264649228004714,2024-08-29 22:15:20.937439,2024-08-29 22:08:20.937439
5,Route A,78.36802855265319,-173.1423260260164,2024-08-30 08:59:20.937439,2024-08-30 09:29:20.937439
9,Route C,42.51250157515926,41.630335586775686,2024-08-30 07:30:20.937439,2024-08-30 07:56:20.937439
4,Route A,-69.80577974800272,66.9820585687504,2024-08-29 20:25:20.937439,2024-08-29 20:37:20.937439
